Page,Status,function,HTTP method,API-EN,,API-TC,API細項,備註
,-,登入,Post,,,登入,"打開APP檢查機碼, 發放token", 過期檢查機制討論
,-,顯示使用者帳號,Get,,,取得使用者資訊,店家資訊,
,,登出,Post,,,登出,關閉APP,
,-,自動封存,Other,,,自動封存,超過兩年自動轉移至舊資料區,
main,-,取得Menu,Get,,,取得選單,帳號權限派送頁面(直營、加盟), 直營店、加盟店
,-,取得估價單列表,Get,,,取得估價單列表,回傳：估價單號、估價單狀態、顧客姓名、連絡電話、車輛廠牌、型號、車牌號碼、店鋪、估價計師、製單技師、建立日,
,-,搜尋估價單列表,Post,,,估價單搜尋,服務類別、狀態、開始日期、結束日期,
,估價中(編輯中),車牌辨識,Post,,,車牌辨識,拍照 -> 回傳車牌號碼、車廠、型號、顏色、是否有維修過,
,,車牌搜尋,Post,,,車牌搜尋,回傳過往維修資料,
,,取得品牌型號,Get,,,取得品牌型號,回傳車款品牌、型號,
,,新增車輛資料,Post,,,新增車輛資料,新增車輛資料 (車牌號碼、車款、型號、顏色、備註),
,,電話搜尋,Post,,,電話搜尋,回傳客戶資料、維修資料統計(取消次數/預約次數),
,,新增客戶資料,Post,,,新增客戶資料,新增客戶資料 (客戶名稱、電話、類別、性別、縣市、區域、Email、消息來源、為何選擇、備註),
,,技師名單,Get,,,技師名單,回傳店家技師名單,
,,新增估價單,Post,,,新增估價單,"店家資料：店鋪名稱、估價技師、製單技師、建立日、預約日、來源、維修日
車輛資料：車牌號碼、車款、型號、顏色、備註
客戶資料：客戶名稱、電話、性別、消息來源、備註
服務類別：凹痕、鈑烤、其他
各類別整體細項：漆況(有鍍膜、有包膜、烤過漆、工具評估...)、留車、備註、預估維修時間、預估修復程度、是否能維修
各類別傷痕細項：照片、位置、凹痕狀況、說明、預估金額
各類別金額：各傷痕預估金額小計、其他費用、趴數折扣、折扣原因
類別總金額：各類別金額小計、零頭折扣
車體確認單：標註後圖片、簽名",狀態：估價中 -> 估價完成
,估價完成,取得估價單,Post,,,取得估價單,回傳估價單所有資訊,
,,編輯估價單,Post,,,編輯估價單,"車輛資料：車牌號碼、車款、型號、顏色、備註
客戶資料：客戶名稱、電話、性別、消息來源、備註
各類別整體細項：備註",狀態：估價完成
,,自動過期,Other,,,估價單過期,超過60天估價單過期,狀態：估價完成 -> 估價過期
,,取消,Post,,,取消估價單,估價取消,狀態：估價完成 -> 已預約 -> 取消(估價轉入)
,,轉預約,Post,,,轉預約,預約日期,狀態：估價完成 -> 已預約
,,轉維修,Post,,,轉維修,回傳維修單號、轉維修成功,"狀態：估價完成 -> 已預約 ->轉維修
估價單、維修單兩者為獨立儲存資料。
估價完成轉維修，所有資料複製成維修單。"
,已預約,自動過期,Other,,,預約過期,超過60天預約過期，估價單取消,狀態：已預約 -> 預約過期
,,更改預約,Post,,,更改預約,更改預約日期,
,,取消預約,Post,,,取消預約,取消原因,狀態：已預約 -> 預約過期
,預約取消,誤按回溯,Post,,,狀態回溯,,狀態：已預約 -> 估價完成
,-,取得維修單列表,Get,,,取得維修單列表,回傳：維修單號、維修單狀態、顧客姓名、連絡電話、車輛廠牌、型號、車牌號碼、店鋪、估價計師、製單技師、建立日,
,-,搜尋維修單列表,Post,,,維修單搜尋,服務類別、狀態、開始日期、結束日期,
,轉維修,取得維修單,Post,,,取得維修單,回傳維修單所有資訊,
,,誤按回溯,Post,,,狀態回溯,,狀態：轉維修 -> 已預約 -> 估價完成
,,確認維修,Post,,,狀態更改,,狀態：轉維修 -> 維修中
,維修中,取得維修單,Post,,,取得維修單,回傳維修單所有資訊,
,,編輯維修單,Post,,,編輯維修單,"車輛資料：車牌號碼、車款、型號、顏色、備註
客戶資料：客戶名稱、電話、性別、消息來源、備註
各類別傷痕細項：維修狀態
各類別金額：各傷痕實收金額小計、其他費用、趴數折扣、折扣原因、實收金額總計、退傭金額","維修狀態：完成(收費100%)、未修(收費0%)、酌收(收費自訂義)
退傭金額：最終最終金額(總實收金額-退傭金額)"
,,續修,Post,,,續修,成立新估價單、複製傷痕細項 (維修狀態：未修),
,,維修完成,Post,,,維修完成,回傳QRcode(網址),"客戶手機掃描後跳出網頁，填寫客戶資料
狀態：維修中 -> 維修完成"
,,終止維修,Post,,,維修中止,終止維修原因,狀態：維修中 -> 終止維修
,維修完成,取得維修單,Post,,,取得維修單,回傳維修單所有資訊,
,"取消
(終止維修)",誤按回溯,Post,,,狀態回溯,,狀態：終止維修 -> 維修中